SubjectEntity,relation,ObjectEntity
Alice Cooper,PersonInstrument,"['harmonica']"
Amber Liu,PersonInstrument,"['guitar']"
Amy Lee,PersonInstrument,"['guitar']"
Amy Lee,PersonInstrument,"['pipe organ']"
Amy Lee,PersonInstrument,"['harp']"
Amy Lee,PersonInstrument,"['piano']"
Anna Iriyama,PersonInstrument,"['flute']"
Annie Lennox,PersonInstrument,"['recorder']"
Annie Lennox,PersonInstrument,"['piano']"
Axl Rose,PersonInstrument,"['guitar']"
Axl Rose,PersonInstrument,"['piano']"
Axl Rose,PersonInstrument,"['pander']"
Axl Rose,PersonInstrument,"['bass']"
Billy Idol,PersonInstrument,"['guitar']"
Billy Idol,PersonInstrument,"['bass guitar', 'guitar']"
Brian May,PersonInstrument,"['keyboard instrument', 'keyboard']"
Brian May,PersonInstrument,"['bass guitar', 'guitar']"
Brian May,PersonInstrument,"['guitar']"
Brian May,PersonInstrument,"['piano']"
Bruce Springsteen,PersonInstrument,"['harmonica']"
Bruce Springsteen,PersonInstrument,"['guitar']"
Bruce Springsteen,PersonInstrument,"['piano']"
Carlos PenaVega,PersonInstrument,"['ukulele']"
Chris Cornell,PersonInstrument,"['guitar']"
Chris Cornell,PersonInstrument,"['bass guitar', 'guitar']"
Chris Cornell,PersonInstrument,"['mandolin']"
Chris Cornell,PersonInstrument,"['violin']"
Chris Cornell,PersonInstrument,"['harmonica']"
Chris Cornell,PersonInstrument,"['piano']"
Chris Cornell,PersonInstrument,"['drum', 'drum kit']"
Dave Mustaine,PersonInstrument,"['guitar']"
David Bowie,PersonInstrument,"['keyboard', 'musical keyboard']"
David Bowie,PersonInstrument,"['piano']"
David Bowie,PersonInstrument,"['guitar']"
David Bowie,PersonInstrument,"['keyboard instrument', 'keyboard']"
David Bowie,PersonInstrument,"['arp 2500', 'arp']"
David Bowie,PersonInstrument,"['saxophone']"
David Bowie,PersonInstrument,"['drum', 'drum kit']"
David Coverdale,PersonInstrument,"['guitar']"
David Coverdale,PersonInstrument,"['bass guitar', 'guitar']"
David Coverdale,PersonInstrument,"['percussion instrument', 'percussion']"
David Coverdale,PersonInstrument,"['keyboard instrument', 'keyboard']"
David Crosby,PersonInstrument,"['guitar', '12-string guitar']"
David Crosby,PersonInstrument,"['tambourine']"
David Crosby,PersonInstrument,"['violin']"
David Crosby,PersonInstrument,"['guitar']"
David Crosby,PersonInstrument,"['piano']"
David Gilmour,PersonInstrument,"['saxophone']"
David Gilmour,PersonInstrument,"['bass guitar', 'guitar']"
David Gilmour,PersonInstrument,"['guitar']"
David Gilmour,PersonInstrument,"['drum', 'drum kit']"
Dominic Howard,PersonInstrument,"['drum', 'drum kit']"
Dominic Howard,PersonInstrument,"['percussion instrument', 'percussion']"
Dougie Poynter,PersonInstrument,"['bass guitar', 'guitar']"
Dougie Poynter,PersonInstrument,"['guitar']"
Eric Clapton,PersonInstrument,"['electric guitar', 'guitar']"
Eric Clapton,PersonInstrument,"['guitar']"
Flea,PersonInstrument,"['bass guitar', 'guitar']"
Florence Welch,PersonInstrument,"['guitar']"
Geezer Butler,PersonInstrument,"['guitar']"
Geezer Butler,PersonInstrument,"['bass guitar', 'guitar']"
Geezer Butler,PersonInstrument,"['bass']"
Gene Simmons,PersonInstrument,"['guitar']"
Gene Simmons,PersonInstrument,"['bass guitar', 'guitar']"
Glenn Hughes,PersonInstrument,"['guitar']"
Glenn Hughes,PersonInstrument,"['bass guitar', 'guitar']"
Harry Styles,PersonInstrument,"['guitar']"
Hayley Williams,PersonInstrument,"['drum', 'drum kit']"
Hayley Williams,PersonInstrument,"['bass guitar', 'guitar']"
Hayley Williams,PersonInstrument,"['guitar']"
Hayley Williams,PersonInstrument,"['keyboard instrument', 'keyboard']"
Hayley Williams,PersonInstrument,"['piano']"
Henry Lau,PersonInstrument,"['violin']"
Henry Lau,PersonInstrument,"['guitar']"
Henry Lau,PersonInstrument,"['piano']"
Henry Lau,PersonInstrument,"['drum']"
Jack White,PersonInstrument,"['guitar']"
Jack White,PersonInstrument,"['drum', 'drum kit']"
Jack White,PersonInstrument,"['piano']"
Jack White,PersonInstrument,"['keyboard', 'musical keyboard']"
Jack White,PersonInstrument,"['mandolin']"
James Maslow,PersonInstrument,"['drum', 'drum kit']"
James Maslow,PersonInstrument,"['guitar']"
James Maslow,PersonInstrument,"['piano']"
Jen Ledger,PersonInstrument,"['percussion instrument', 'percussion']"
Jen Ledger,PersonInstrument,"['drum', 'drum kit']"
Johnny Marr,PersonInstrument,"['guitar']"
Jung Yong-hwa,PersonInstrument,"['guitar']"
Justin Timberlake,PersonInstrument,"['keyboard instrument', 'keyboard']"
Justin Timberlake,PersonInstrument,"['beatboxing']"
Justin Timberlake,PersonInstrument,"['guitar']"
